Tabla:`azpr-tdata-mx-fin-8303.ba_finance_mx.chain_sales_mx`

Estructura:

table_name	column_name	data_type	is_nullable
chain_sales_mx	sku	INT64	YES
chain_sales_mx	store	INT64	YES
chain_sales_mx	trans	INT64	YES
chain_sales_mx	calendar_date	DATETIME	YES
chain_sales_mx	type_sale	STRING	YES
chain_sales_mx	promo_flag	STRING	YES
chain_sales_mx	quantity	INT64	YES
chain_sales_mx	equalized_units	NUMERIC	YES
chain_sales_mx	net_sales	NUMERIC	YES
chain_sales_mx	net_cost	NUMERIC	YES
chain_sales_mx	net_cost_adj	NUMERIC	YES
chain_sales_mx	gross_profit	NUMERIC	YES
chain_sales_mx	gross_profit_adj	NUMERIC	YES
chain_sales_mx	regular_sales	NUMERIC	YES
chain_sales_mx	regular_sales_adj	NUMERIC	YES
chain_sales_mx	deal_id	INT64	YES
chain_sales_mx	deal_desc	STRING	YES
chain_sales_mx	customer_type	STRING	YES
chain_sales_mx	customer_number	INT64	YES


muestra data 

sku	store	trans	calendar_date	type_sale	promo_flag	quantity	equalized_units	net_sales	net_cost	net_cost_adj	gross_profit	gross_profit_adj	regular_sales	regular_sales_adj	deal_id	deal_desc	customer_type	customer_number
912741	10151	121009	2026-04-23T00:00:00	99	N	-1	-1	-11.8	0	0	-11.8	-11.8	0	0	0	Sin deal	DIY	0
912741	10172	59474	2026-04-23T00:00:00	99	N	-1	-1	-43.9	0	0	-43.9	-43.9	0	0	0	Sin deal	DIY	0
912741	10116	273922	2026-04-23T00:00:00	99	N	-1	-1	-79.8	0	0	-79.8	-79.8	0	0	0	Sin deal	DIY	0
912741	10300	29537	2026-04-23T00:00:00	99	N	-1	-1	-11.8	0	0	-11.8	-11.8	0	0	0	Sin deal	DIY	0
912741	9637	197416	2026-04-23T00:00:00	99	N	-1	-1	-5	0	0	-5	-5	0	0	0	Sin deal	DIY	0
912741	10170	166644	2026-04-23T00:00:00	99	N	-1	-1	-87.7	0	0	-87.7	-87.7	0	0	0	Sin deal	DIY	0
912741	10312	7899	2026-04-23T00:00:00	99	N	-1	-1	-5.4	0	0	-5.4	-5.4	0	0	0	Sin deal	DIY	0
912741	10101	288551	2026-04-23T00:00:00	99	N	-1	-1	-64.8	0	0	-64.8	-64.8	0	0	0	Sin deal	DIY	0
912741	10132	162501	2026-04-23T00:00:00	99	N	-1	-1	-402.4	0	0	-402.4	-402.4	0	0	0	Sin deal	DIY	0
912741	10173	115210	2026-04-23T00:00:00	99	N	-1	-1	-1699.6	0	0	-1699.6	-1699.6	0	0	0	Sin deal	DIY	0
912741	10157	137756	2026-04-23T00:00:00	99	N	-1	-1	-155.7	0	0	-155.7	-155.7	0	0	0	Sin deal	DIY	0
912741	10175	132146	2026-04-23T00:00:00	99	N	-1	-1	-8	0	0	-8	-8	0	0	0	Sin deal	DIY	0
912741	10236	116438	2026-04-23T00:00:00	99	N	-1	-1	-42.6	0	0	-42.6	-42.6	0	0	0	Sin deal	DIY	0
912741	10212	27682	2026-04-23T00:00:00	99	N	-1	-1	-11.9	0	0	-11.9	-11.9	0	0	0	Sin deal	DIY	0
912741	10191	74640	2026-04-23T00:00:00	99	N	-1	-1	-37.3	0	0	-37.3	-37.3	0	0	0	Sin deal	DIY	0
912741	10101	288626	2026-04-23T00:00:00	99	N	-1	-1	-37.6	0	0	-37.6	-37.6	0	0	0	Sin deal	DIY	0
912741	10259	59648	2026-04-23T00:00:00	99	N	-1	-1	-8	0	0	-8	-8	0	0	0	Sin deal	DIY	0
912741	10159	175576	2026-04-23T00:00:00	99	N	-1	-1	-271.6	0	0	-271.6	-271.6	0	0	0	Sin deal	DIY	0
912741	10192	123542	2026-04-23T00:00:00	99	N	-1	-1	-56.1	0	0	-56.1	-56.1	0	0	0	Sin deal	DIY	0
912741	10132	162485	2026-04-23T00:00:00	99	N	-1	-1	-195.4	0	0	-195.4	-195.4	0	0	0	Sin deal	DIY	0
912741	10133	95935	2026-04-23T00:00:00	99	N	-1	-1	-243.1	0	0	-243.1	-243.1	0	0	0	Sin deal	DIY	0
912741	10232	16620	2026-04-23T00:00:00	99	N	-1	-1	-63.9	0	0	-63.9	-63.9	0	0	0	Sin deal	DIY	0
