Tabla:`azpr-tdata-mx-fin-8303.cur_store_development_setup.xs__tstore`

Estructura:

table_name	column_name	data_type	is_nullable
xs__tstore	comm_sales_date	TIMESTAMP	YES
xs__tstore	delivery_time	INT64	YES
xs__tstore	store_zone	INT64	YES
xs__tstore	store_region	INT64	YES
xs__tstore	xp_wkend_method	STRING	YES
xs__tstore	sch_ship_via	INT64	YES
xs__tstore	sch_prim_shipper	STRING	YES
xs__tstore	sch_algor_code	INT64	YES
xs__tstore	sch_delivery_hrs1	STRING	YES
xs__tstore	sch_cutoff1	STRING	YES
xs__tstore	sch_sub_agent1	STRING	YES
xs__tstore	sch_delivery_hrs2	STRING	YES
xs__tstore	sch_cutoff2	STRING	YES
xs__tstore	sch_sub_agent2	STRING	YES
xs__tstore	sch_delivery_hrs3	STRING	YES
xs__tstore	sch_cutoff3	STRING	YES
xs__tstore	sch_sub_agent3	STRING	YES
xs__tstore	sch_delivery_hrs4	STRING	YES
xs__tstore	sch_cutoff4	STRING	YES
xs__tstore	sch_sub_agent4	STRING	YES
xs__tstore	sch_delivery_hrs5	STRING	YES
xs__tstore	sch_cutoff5	STRING	YES
xs__tstore	sch_sub_agent5	STRING	YES
xs__tstore	sch_delivery_hrs6	STRING	YES
xs__tstore	sch_cutoff6	STRING	YES
xs__tstore	sch_sub_agent6	STRING	YES
xs__tstore	sch_delivery_hrs7	STRING	YES
xs__tstore	sch_cutoff7	STRING	YES
xs__tstore	sch_sub_agent7	STRING	YES
xs__tstore	sms_on_plano	STRING	YES
xs__tstore	trailer_at_store	STRING	YES
xs__tstore	sms_on_epas	STRING	YES
xs__tstore	store_profile_code	STRING	YES
xs__tstore	core_override_zone	INT64	YES
xs__tstore	delivr_door_height	INT64	YES
xs__tstore	catalog_racks	STRING	YES
xs__tstore	catalog_binder_set	STRING	YES
xs__tstore	strmgr_name	STRING	YES
xs__tstore	on_e_cat	STRING	YES
xs__tstore	repl_box_label	STRING	YES
xs__tstore	store_prot_type	STRING	YES
xs__tstore	grav_feed_oil	STRING	YES
xs__tstore	tinted_windows	STRING	YES
xs__tstore	hdpart_fix_ext_2ft	STRING	YES
xs__tstore	engine_displays	STRING	YES
xs__tstore	battery_displays	STRING	YES
xs__tstore	freon_displays	STRING	YES
xs__tstore	xparts_box_count	INT64	YES
xs__tstore	cust_friend_park	INT64	YES
xs__tstore	cust_unfriend_park	INT64	YES
xs__tstore	store_is_prototype	STRING	YES
xs__tstore	language	STRING	YES
xs__tstore	nbr_window_signs	INT64	YES
xs__tstore	city_sign_code	INT64	YES
xs__tstore	city_sign_cd	STRING	YES
xs__tstore	metro	STRING	YES
xs__tstore	load_metro	STRING	YES
xs__tstore	hub_store	STRING	YES
xs__tstore	proj_annual_sales	INT64	YES
xs__tstore	ptag_adi	INT64	YES
xs__tstore	grant_opening_date	TIMESTAMP	YES
xs__tstore	model_store_number	INT64	YES
xs__tstore	grand_opening_date	TIMESTAMP	YES
xs__tstore	armored_car_serv	STRING	YES
xs__tstore	retail_prices_set	STRING	YES
xs__tstore	sales_store_code	STRING	YES
xs__tstore	ceiling_height	STRING	YES
xs__tstore	new_store_sign_rel	STRING	YES
xs__tstore	pend_order_days	STRING	YES
xs__tstore	pend_delivery_days	STRING	YES
xs__tstore	pend_ord_del_date	TIMESTAMP	YES
xs__tstore	static_oc_override	INT64	YES
xs__tstore	oil_recycle	STRING	YES
xs__tstore	dc_pick_wave	INT64	YES
xs__tstore	base_store	STRING	YES
xs__tstore	pend_delivery_time	INT64	YES
xs__tstore	uos_pref_vndr	STRING	YES
xs__tstore	setup_crew_code	STRING	YES
xs__tstore	fog_cluster_id	INT64	YES
xs__tstore	eas_store	STRING	YES
xs__tstore	trade_zone	STRING	YES
xs__tstore	country_code	STRING	YES
xs__tstore	border_crossing	STRING	YES
xs__tstore	county	STRING	YES
xs__tstore	date_closed	TIMESTAMP	YES
xs__tstore	extended_state	STRING	YES
xs__tstore	metadata	"STRUCT<bi_create_ts TIMESTAMP, bi_lastmt_ts TIMESTAMP, bi_ingestion_ts TIMESTAMP>"	YES
